rank,score,retrieval,x,y,yaw,pitch,hfov,mpp,road,center_road,boundary_edge,bad,gps_dist,gps_prior,yaw_prior,pitch_prior,hfov_prior,mpp_prior,camera_prior,shape,out
18,3.9377112040698306,0.17184136807918549,230,498,179.119318851446,5.199160147406055,71.2804919682953,0.5825063909072657,0.8120215535163879,0.8281946182250977,0.7355734705924988,0.3418375849723816,0.0,1.0,0.9998547351610363,0.9950541755275878,0.9872718555466324,0.8755043428836597,0.9526101246526265,0.0,0.0
19,3.9376650142744163,0.15643778443336487,230,498,178.5245127120432,4.708688605361357,69.77034973075587,0.6005937313536371,0.8137447237968445,0.8351513147354126,0.7428551912307739,0.3414466977119446,0.0,1.0,0.9976956370789811,0.9894482731207895,0.9995880595101367,0.8206663488304095,0.936567560487112,0.0,0.0
20,3.9370765387838795,0.17184136807918549,230,498,178.9136808086198,4.889802965542015,68.97244653524375,0.5846193810095393,0.8101687431335449,0.8322499990463257,0.7402145266532898,0.34989675879478455,0.0,1.0,0.9999239722494342,0.9984832281624717,0.9917849751785979,0.8694866171254346,0.953251606822168,0.0,0.0
21,3.937046563845297,0.15643778443336487,230,498,179.04134751427384,4.7093397668596,71.49857513735927,0.6308568146640464,0.8237882852554321,0.8426701426506042,0.7347723245620728,0.32586559653282166,0.0,1.0,0.9999825550813825,0.9894951440885199,0.9826082672425915,0.7157363003431141,0.8959465705580753,0.0,0.0
22,3.937004534364229,0.17184136807918549,230,498,178.27554138834137,5.261021541697047,72.0,0.5835447892807274,0.8103007674217224,0.8388671875,0.7313392758369446,0.3350079655647278,0.0,1.0,0.9946588021323157,0.9915196322597781,0.9692332344763441,0.8725608484176881,0.9444379050512701,0.0,0.0
23,3.936064570430439,0.17184136807918549,230,498,178.65611163425615,5.47559142276071,68.5053673541722,0.5996147471410713,0.8180397748947144,0.8289631009101868,0.7341569066047668,0.3310008645057678,0.0,1.0,0.9987940011885736,0.9721225519897271,0.9826988609637349,0.8238139982412301,0.926211803731564,0.0,0.0
24,3.9356482278783997,0.13793495297431946,230,498,178.24179537945992,5.386534174592804,68.32341373011386,0.5951521938626056,0.8176985383033752,0.8345856666564941,0.736392080783844,0.3272170424461365,0.0,1.0,0.9941511080177207,0.9814972338911339,0.9782788952549742,0.8379182260306811,0.9325647850589297,0.0,0.0
25,3.934960591776323,0.1649695336818695,230,498,178.27660152566233,4.398983432727131,68.20330137946593,0.6063213711088372,0.8179841041564941,0.8430148363113403,0.7429363131523132,0.33789700269699097,0.0,1.0,0.9946743811214787,0.9558515941106578,0.9750956269683773,0.8018884108213,0.9109452106334451,0.0,0.0
26,3.9346798952709165,0.13793495297431946,230,498,178.68927837205635,5.2219893173858125,71.13195242464845,0.5793926143046283,0.8116171956062317,0.8312660455703735,0.7348760366439819,0.33802351355552673,0.0,1.0,0.9990153021734862,0.9938590262029391,0.9900396525956846,0.8841671724477302,0.9560219504154513,0.0,0.0
27,3.9342386401927625,0.17184136807918549,230,498,178.99876988277794,5.545347181344372,70.48803417388643,0.6229467818517531,0.8204975724220276,0.8388420939445496,0.7290117740631104,0.3246723413467407,0.0,1.0,0.9999999845593024,0.963507079441195,0.9981409695566765,0.7443583997876978,0.9020021495951897,0.0,0.0
28,3.9340238788273254,0.17184136807918549,230,498,179.20275702450877,4.593828800020918,69.03299991977215,0.5890276549044048,0.813344419002533,0.8310006856918335,0.73405921459198,0.3411182463169098,0.0,1.0,0.9995805939856317,0.9795892964028169,0.9927212354319539,0.8565837449784666,0.9429647589377458,0.0,0.0
29,3.933751983828419,0.17184136807918549,230,498,178.70105447123498,5.501332846504853,68.81133449191157,0.605397968791083,0.8183940649032593,0.8390583992004395,0.7306358218193054,0.3345049023628235,0.0,1.0,0.9990884929285654,0.969071552844192,0.9890222185354834,0.8049561955881293,0.921016655655935,0.0,0.0
30,3.9329662338771043,0.17184136807918549,230,498,179.36816118826903,4.3532136626945075,68.93738340921003,0.6110851255578503,0.8233503699302673,0.8405197858810425,0.738510251045227,0.34067878127098083,0.0,1.0,0.9986178676529814,0.9490521106473164,0.9912172796347472,0.7858308039470985,0.9087000647430541,0.0,0.0
31,3.9329140236762856,0.1336732804775238,230,498,179.2160411461131,4.777324698630289,70.97315095095938,0.6258329333298903,0.8235110640525818,0.8434610366821289,0.7335923314094543,0.32791054248809814,0.0,1.0,0.9995238503665207,0.9938211319743552,0.9926286869634571,0.7339925583732415,0.9068141257703513,0.0,0.0
